#rank	title	distributor	href	year	poster	trailer
8	Funny Lady	Columbia	Funny_Lady	1975	d/d5/Funny_lady_movie_poster.jpg	
9	The Other Side of the Mountain	Universal	The_Other_Side_of_the_Mountain	1975	e/e4/Film_Poster_for_The_Other_Side_of_the_Mountain.jpg	
10	Tommy	Columbia	Tommy_(1975_film)	1975	d/d4/Tommy_film_poster.jpg	
#rank	title	distributor	href	year	poster	trailer
1	Rocky	United Artists	Rocky	1976	1/18/Rocky_poster.jpg	
2	To Fly!	Conoco	To_Fly!	1976	9/97/To_Fly_(1976_short_film).jpg	
3	A Star Is Born	Warner Bros.	A_Star_Is_Born_(1976_film)	1976		
4	King Kong	Paramount	King_Kong_(1976_film)	1976	6/6c/King_kong_1976_movie_poster.jpg	
5	Silver Streak	20th Century Fox	Silver_Streak_(film)	1976	8/84/Silver-Streak-Poster.jpg	
6	All the President's Men	Warner Bros.	All_the_President's_Men_(film)	1976	9/92/All_the_president's_men.jpg	
7	The Omen	20th Century Fox	The_Omen	1976	1/1d/Omen_ver4.jpg	
8	The Enforcer	Warner Bros.	The_Enforcer_(1976_film)	1976	c/cb/The_Enforcer.jpg	
9	Midway	Universal	Midway_(1976_film)	1976	1/11/Midway_movie_poster.jpg	
10	The Bad News Bears	Paramount	The_Bad_News_Bears	1976	f/f9/Bad_news_bears_1976_movie_poster.jpg	
#rank	title	distributor	href	year	poster	trailer
1	Star Wars	20th Century-Fox	Star_Wars_(film)	1977	8/87/StarWarsMoviePoster1977.jpg	
2	Smokey and the Bandit	Universal	Smokey_and_the_Bandit	1977	c/cb/Smokey_And_The_Bandit_Poster.jpg	
3	Close Encounters of the Third Kind	Columbia	Close_Encounters_of_the_Third_Kind	1977	b/ba/Close_Encounters_of_the_Third_Kind_(1977)_theatrical_poster.jpg	
4	Saturday Night Fever	Paramount	Saturday_Night_Fever	1977	4/45/Saturday_night_fever_movie_poster.jpg	
5	The Goodbye Girl	Warner Bros.	The_Goodbye_Girl	1977	c/c9/Goodbye_Girl_movie_poster.jpg	
6	A Bridge Too Far	United Artists	A_Bridge_Too_Far_(film)	1977	e/e7/Bridge_too_far_movieposter.jpg	
7	The Deep	Columbia	The_Deep_(1977_film)	1977	8/81/The_Deep_movie_poster.jpg	
8	The Spy Who Loved Me	United Artists	The_Spy_Who_Loved_Me_(film)	1977	d/d7/The_Spy_Who_Loved_Me_(UK_cinema_poster).jpg	
9	Oh, God!	Warner Bros.	Oh,_God!_(film)	1977	f/fd/Oh,_God!_(movie_poster).jpg	
10	Annie Hall	United Artists	Annie_Hall	1977	e/e6/Anniehallposter.jpg	
#rank	title	distributor	href	year	poster	trailer
1	Grease	Paramount	Grease_(film)	1978	e/e2/Grease_ver2.jpg	
2	Superman	Warner Bros.	Superman_(1978_film)	1978	b/b0/Superman_(1978_film_poster).jpg	
3	National Lampoon’s Animal House	Universal Pictures	Animal_House	1978	e/ea/Animalhouseposter.jpg	
4	Every Which Way but Loose	Warner Bros.	Every_Which_Way_but_Loose_(film)	1978	6/63/Everywhichwaybutloosemovieposter.jpg	
5	Heaven Can Wait	Paramount	Heaven_Can_Wait_(1978_film)	1978	1/1a/Heaven_can_wait_poster.jpg	
6	Hooper	Warner Bros.	Hooper_(film)	1978	3/30/HooperPoster.jpg	
7	Jaws 2	Universal Pictures	Jaws_2	1978	1/1a/Jaws2_poster.jpg	
8	Revenge of the Pink Panther	United Artists	Revenge_of_the_Pink_Panther	1978	1/14/Revenge_of_the_pink_panther_ver3.jpg	
9	The Deer Hunter	Universal	The_Deer_Hunter	1978	5/57/The_Deer_Hunter_poster.jpg	
10	Halloween	Compass International	Halloween_(1978_film)	1978	a/af/Halloween_(1978)_theatrical_poster.jpg	
#rank	title	distributor	href	year	poster	trailer
1	Kramer vs. Kramer	Columbia	Kramer_vs._Kramer	1979	b/b0/Oscar_posters_79.jpg	
2	The Amityville Horror	American International Pictures	The_Amityville_Horror_(1979_film)	1979	0/09/Amityville_poster.jpg	
3	Rocky II	United Artists	Rocky_II	1979	b/bc/Rocky_ii_poster.jpg	
4	Star Trek: The Motion Picture	Paramount	Star_Trek:_The_Motion_Picture	1979	d/df/Star_Trek_The_Motion_Picture_poster.png	
5	Alien	20th Century-Fox	Alien_(film)	1979	c/c3/Alien_movie_poster.jpg	
6	Apocalypse Now	United Artists	Apocalypse_Now	1979	c/c2/Apocalypse_Now_poster.jpg	
