#rank	title	distributor	href	year	poster	trailer
4	The Silence of the Lambs	Orion Pictures	The_Silence_of_the_Lambs_(film)	1991	8/86/The_Silence_of_the_Lambs_poster.jpg	
5	City Slickers	Columbia	City_Slickers	1991	3/3c/City_Slickers.jpg	
6	Hook	Tri-Star	Hook_(film)	1991	0/0e/Hook_poster_transparent.png	
7	The Addams Family	Paramount	The_Addams_Family_(1991_film)	1991	0/04/The_Addams_Family.jpg	
8	Sleeping with the Enemy	20th Century Fox	Sleeping_with_the_Enemy	1991	a/a4/Sleeping_With_The_Enemy.jpg	
9	Father of the Bride	Buena Vista	Father_of_the_Bride_(1991_film)	1991	a/a1/Father_of_the_bride_poster.jpg	
10	The Naked Gun 2½: The Smell of Fear	Paramount	The_Naked_Gun_2½:_The_Smell_of_Fear	1991	d/d1/Naked_Gun_2.jpg	
#rank	title	distributor	href	year	poster	trailer
1	Aladdin	Buena Vista Pictures Distribution	Aladdin_(1992_Disney_film)	1992	b/bd/Aladdin_(1992_Disney_film)_poster.jpg	
2	Home Alone 2: Lost in New York	20th Century Fox	Home_Alone_2:_Lost_in_New_York	1992	5/50/Home_Alone_2.jpg	
3	Batman Returns	Warner Bros.	Batman_Returns	1992	8/83/Batman_returns_poster2.jpg	
4	Lethal Weapon 3	Warner Bros.	Lethal_Weapon_3	1992	c/cc/Lethal_Weapon_3_Poster.jpg	
5	A Few Good Men	Columbia	A_Few_Good_Men	1992	4/45/A_Few_Good_Men_poster.jpg	
6	Sister Act	Buena Vista	Sister_Act	1992	a/a3/Sister_Act_film_poster.jpg	
7	The Bodyguard	Warner Bros.	The_Bodyguard_(1992_film)	1992	8/8f/The_Bodyguard_1992_Film_Poster.jpg	
8	Wayne's World	Paramount	Wayne's_World_(film)	1992	e/e0/Wayne's_World.jpg	
9	Basic Instinct	Tri-Star	Basic_Instinct	1992	f/f9/Basic_Instinct.png	
10	A League of Their Own	Columbia	A_League_of_Their_Own	1992	5/5f/League_of_their_own_ver2.jpg	
#rank	title	distributor	href	year	poster	trailer
1	Jurassic Park	Universal Pictures	Jurassic_Park_(film)	1993	e/e7/Jurassic_Park_poster.jpg	
2	Mrs. Doubtfire	20th Century Fox	Mrs._Doubtfire	1993	5/5a/Mrs_Doubtfire.jpg	
3	The Fugitive	Warner Bros.	The_Fugitive_(1993_film)	1993	c/c7/The_Fugitive_movie.jpg	
4	The Firm	Paramount	The_Firm_(1993_film)	1993	f/ff/Firm_ver2.jpg	
5	Sleepless in Seattle	Tri-Star	Sleepless_in_Seattle	1993	e/e1/Sleepless_in_seattle.jpg	
6	Indecent Proposal	Paramount	Indecent_Proposal	1993	8/84/Indecent_proposal.jpg	
7	In the Line of Fire	Columbia	In_the_Line_of_Fire	1993	f/fd/In_the_line_of_fireposter.jpg	
8	The Pelican Brief	Warner Bros.	The_Pelican_Brief_(film)	1993	9/9d/The_Pelican_Brief.jpg	
9	Schindler's List	Universal Pictures	Schindler's_List	1993	3/38/Schindler's_List_movie.jpg	
10	Cliffhanger	Tri-Star	Cliffhanger_(film)	1993	4/4a/Cliffhanger_Poster.jpg	
#rank	title	distributor	href	year	poster	trailer
1	Forrest Gump	Paramount	Forrest_Gump	1994	6/67/Forrest_Gump_poster.jpg	
2	The Lion King	Buena Vista Pictures Distribution	The_Lion_King	1994	3/3d/The_Lion_King_poster.jpg	
3	True Lies	20th Century Fox	True_Lies	1994	8/81/True_Lies_poster.png	
4	The Santa Clause	Buena Vista Pictures Distribution	The_Santa_Clause	1994	8/86/The_Santa_Clause.jpg	
5	The Flintstones	Universal	The_Flintstones_(film)	1994	d/dc/Flintstones_ver2.jpg	
6	Dumb and Dumber	New Line Cinema	Dumb_and_Dumber	1994	6/64/Dumbanddumber.jpg	
7	Clear and Present Danger	Paramount	Clear_and_Present_Danger_(film)	1994	3/36/Clear_and_Present_Danger_film.jpg	
8	Speed	20th Century Fox	Speed_(1994_film)	1994	4/45/Speed_movie_poster.jpg	
9	The Mask	New Line Cinema	The_Mask_(1994_film)	1994	4/4b/The_Mask_(film)_poster.jpg	
10	Pulp Fiction	Miramax Films	Pulp_Fiction	1994	3/3b/Pulp_Fiction_(1994)_poster.jpg	
#rank	title	distributor	href	year	poster	trailer
1	Toy Story	Buena Vista Pictures Distribution	Toy_Story	1995	1/13/Toy_Story.jpg	
2	Batman Forever	Warner Bros.	Batman_Forever	1995	9/9d/Batman_Forever_poster.png	
3	Apollo 13	Universal Pictures	Apollo_13_(film)	1995	9/9e/Apollo_thirteen_movie.jpg	
4	Pocahontas	Buena Vista Pictures Distribution	Pocahontas_(1995_film)	1995	5/57/Pocahontasposter.jpg	
5	Ace Ventura: When Nature Calls	Warner Bros.	Ace_Ventura:_When_Nature_Calls	1995	b/b9/AceVenturaWhenNatureCallsposter.jpg	
6	GoldenEye	MGM	GoldenEye	1995	2/24/GoldenEye_-_UK_cinema_poster.jpg	
7	Jumanji	Sony Pictures Releasing	Jumanji_(film)	1995	b/b6/Jumanji_poster.jpg	
8	Casper	Universal	Casper_(1995_film)	1995	7/7f/Casper_poster.jpg	
9	Seven	New Line Cinema	Seven_(1995_film)	1995	6/68/Seven_(movie)_poster.jpg	
10	Die Hard with a Vengeance	20th Century Fox	Die_Hard_with_a_Vengeance	1995	4/4c/Die_Hard_With_A_Vengance.jpg	
#rank	title	distributor	href	year	poster	trailer
1	Independence Day	20th Century Fox	Independence_Day_(1996_film)	1996	b/bb/Independence_day_movieposter.jpg	
2	Twister	Warner Bros.	Twister_(1996_film)	1996	a/a5/Twistermovieposter.jpg	
3	Mission: Impossible	Paramount	Mission:_Impossible_(film)	1996	e/e1/MissionImpossiblePoster.jpg	
4	Jerry Maguire	Sony Pictures Releasing	Jerry_Maguire	1996	e/ea/Jerry_Maguire_movie_poster.jpg	
5	Ransom	Buena Vista	Ransom_(1996_film)	1996	d/d2/RansomPoster.jpg	
6	101 Dalmatians	Buena Vista Pictures Distribution	101_Dalmatians_(1996_film)	1996	e/ef/One_hundred_and_one_dalmatians_ver2.jpg	
7	The Rock	Buena Vista	The_Rock_(film)	1996	8/82/The_Rock_(movie).jpg	
8	The Nutty Professor	Universal	The_Nutty_Professor_(1996_film)	1996	7/7f/Nutty_professor_ver1.jpg	
9	The Birdcage	MGM/UA Distribution Co.	The_Birdcage	1996	7/76/Birdcage_imp.jpg	
10	A Time to Kill	Warner Bros.	A_Time_to_Kill_(1996_film)	1996	6/60/Time_to_kill_poster.jpg	
#rank	title	distributor	href	year	poster	trailer
1	Titanic	Paramount	Titanic_(1997_film)	1997	1/18/Titanic_(1997_film)_poster.png	
2	Men in Black	Sony Pictures Releasing	Men_in_Black_(1997_film)	1997	f/fb/Men_in_Black_Poster.jpg	
3	The Lost World: Jurassic Park	Universal Pictures	The_Lost_World:_Jurassic_Park	1997	c/cc/The_Lost_World_–_Jurassic_Park_poster.jpg	
4	Liar Liar	Universal	Liar_Liar	1997	3/3d/Liar_Liar_poster.JPG	
5	Air Force One	Sony Pictures Releasing	Air_Force_One_(film)	1997	2/2a/Air_Force_One_(movie_poster).jpg	
6	As Good as It Gets	Sony Pictures Releasing	As_Good_as_It_Gets	1997	d/dc/As_good_as_it_gets.jpg	
7	Good Will Hunting	Miramax Films	Good_Will_Hunting	1997	5/52/Good_Will_Hunting.png	
8	My Best Friend's Wedding	Sony Pictures Releasing	My_Best_Friend's_Wedding	1997	7/71/My_Best_Friends_Wedding.jpg	
9	Tomorrow Never Dies	MGM	Tomorrow_Never_Dies	1997	b/b3/Tomorrow_Never_Dies_(UK_cinema_poster).jpg	
10	Face/Off	Paramount	Face/Off	1997	1/1c/FaceOff_poster.jpg	
#rank	title	distributor	href	year	poster	trailer
1	Saving Private Ryan	DreamWorks Pictures	Saving_Private_Ryan	1998	a/ac/Saving_Private_Ryan_poster.jpg	
2	Armageddon	Buena Vista Pictures Distribution	Armageddon_(1998_film)	1998	f/fc/Armageddon-poster06.jpg	
3	There's Something About Mary	20th Century Fox	There's_Something_About_Mary	1998	d/df/There's_Something_About_Mary_POSTER.jpg	
4	A Bug's Life	Buena Vista Pictures Distribution	A_Bug's_Life	1998	c/cc/A_Bug's_Life.jpg	
5	The Waterboy	Buena Vista	The_Waterboy	1998	f/f3/Waterboy-poster-0.jpg	
6	Dr. Dolittle	20th Century Fox	Dr._Dolittle_(film)	1998	5/5f/Dr_dolittle_movie_1998.jpg	
7	Rush Hour	New Line Cinema	Rush_Hour_(1998_film)	1998	4/49/Rush_Hour_poster.png	
8	Deep Impact	Paramount	Deep_Impact_(film)	1998	9/93/Deep_Impact_poster.jpg	
9	Godzilla	Tri-Star	Godzilla_(1998_film)	1998	2/2e/Godzilla_(1998_Movie_Poster).jpg	
10	Patch Adams	Universal	Patch_Adams_(film)	1998	5/53/Patch_Adams_1998_movie_poster.jpg	
#rank	title	distributor	href	year	poster	trailer
1	Star Wars: Episode I - The Phantom Menace	20th Century Fox	Star_Wars:_Episode_I_-_The_Phantom_Menace	1999	4/40/Star_Wars_Phantom_Menace_poster.jpg	
2	The Sixth Sense	Buena Vista Pictures Distribution	The_Sixth_Sense	1999	a/a4/The_Sixth_Sense_poster.png	
3	Toy Story 2	Buena Vista Pictures Distribution	Toy_Story_2	1999	c/c0/Toy_Story_2.jpg	
4	Austin Powers: The Spy Who Shagged Me	New Line Cinema	Austin_Powers:_The_Spy_Who_Shagged_Me	1999	f/ff/Austin_Powers-_The_Spy_Who_Shagged_Me.jpg	
5	The Matrix	Warner Bros.	The_Matrix	1999	c/c1/The_Matrix_Poster.jpg	
6	Tarzan	Buena Vista Pictures Distribution	Tarzan_(1999_film)	1999	4/4f/Tarzan_(1999_film)_-_theatrical_poster.jpg	
7	Big Daddy	Sony Pictures Releasing	Big_Daddy_(1999_film)	1999	c/ca/Big_Daddy_film.jpg	
8	The Mummy	Universal	The_Mummy_(1999_film)	1999	6/68/The_mummy.jpg	
9	Runaway Bride	Paramount	Runaway_Bride_(film)	1999	e/e2/Runaway_Bride.jpg	
10	The Blair Witch Project	Artisan	The_Blair_Witch_Project	1999	2/26/Blair_Witch_Project.jpg	
#rank	title	distributor	href	year	poster	trailer
1	How the Grinch Stole Christmas	Universal	How_the_Grinch_Stole_Christmas_(2000_film)	2000	e/e7/How_the_Grinch_Stole_Christmas_film_poster.jpg	
2	Cast Away	20th Century Fox	Cast_Away	2000	a/a7/Cast_away_film_poster.jpg	
3	Mission: Impossible II	Paramount	Mission:_Impossible_II	2000	4/48/Mission_Impossible_II.jpg	
4	Gladiator	DreamWorks Pictures	Gladiator_(2000_film)	2000	f/fb/Gladiator_(2000_film_poster).png	
5	What Women Want	Paramount	What_Women_Want	2000	3/37/Whatwomenwant.jpg	
6	The Perfect Storm	Warner Bros.	The_Perfect_Storm_(film)	2000	7/7e/Perfect_storm_poster.jpg	
7	Meet the Parents	Universal	Meet_the_Parents	2000	0/05/Meet_the_parents_ver2.jpg	
8	X-Men	20th Century Fox	X-Men_(film)	2000	8/81/X-MenfilmPoster.jpg	
9	Scary Movie	Dimension Films	Scary_Movie_(2000_film)	2000	2/29/Movie_poster_for_"Scary_Movie".jpg	
10	What Lies Beneath	DreamWorks Pictures	What_Lies_Beneath	2000	d/d8/What_lies_beneath_(poster).jpg	
#rank	title	distributor	href	year	poster	trailer
1	Harry Potter and the Sorcerer's Stone	Warner Bros.	Harry_Potter_and_the_Sorcerer's_Stone_(film)	2001	7/7a/Harry_Potter_and_the_Philosopher's_Stone_banner.jpg	
2	The Lord of the Rings: The Fellowship of the Ring	New Line Cinema	The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring_(film)	2001	8/8a/The_Lord_of_the_Rings,_TFOTR_(2001).jpg	
3	Shrek	DreamWorks Pictures	Shrek	2001	7/7b/Shrek_(2001_animated_feature_film).jpg	
4	Monsters, Inc.	Buena Vista	Monsters,_Inc.	2001	6/63/Monsters_Inc.JPG	
5	Rush Hour 2	New Line Cinema	Rush_Hour_2	2001	d/dc/Rush_Hour_2_poster.png	
6	The Mummy Returns	Universal Pictures	The_Mummy_Returns	2001	b/b7/The_Mummy_Returns_poster.jpg	
7	Pearl Harbor	Buena Vista	Pearl_Harbor_(film)	2001	3/3c/Pearl_harbor_movie_poster.jpg	
8	Ocean's Eleven	Warner Bros.	Ocean's_Eleven	2001	6/68/Ocean's_Eleven_2001_Poster.jpg	
9	Jurassic Park III	Universal	Jurassic_Park_III	2001	6/6d/Jurassic_Park_III_poster.jpg	
10	Planet of the Apes	20th Century Fox	Planet_of_the_Apes_(2001_film)	2001	2/2c/PotA-2001poster.jpg	
#rank	title	distributor	href	year	poster	trailer
1	Spider-Man	Sony Pictures Releasing	Spider-Man_(2002_film)	2002	6/6c/Spider-Man_(2002_film)_poster.jpg	
2	The Lord of the Rings: The Two Towers	New Line Cinema	The_Lord_of_the_Rings:_The_Two_Towers_(film)	2002	f/fc/The_Lord_of_the_Rings,_T2T_(2002).jpg	
3	Star Wars: Episode II - Attack of the Clones	20th Century Fox	Star_Wars:_Episode_II_-_Attack_of_the_Clones	2002	3/32/Star_Wars_-_Episode_II_Attack_of_the_Clones_(movie_poster).jpg	
4	Harry Potter and the Chamber of Secrets	Warner Bros.	Harry_Potter_and_the_Chamber_of_Secrets_(film)	2002	c/c0/Harry_Potter_and_the_Chamber_of_Secrets_movie.jpg	
5	My Big Fat Greek Wedding	IFC Films	My_Big_Fat_Greek_Wedding	2002	3/3b/My_Big_Fat_Greek_Wedding_movie_poster.jpg	
6	Signs	Buena Vista	Signs_(2002_film)	2002	0/08/The_Signs_movie.jpg	
7	Austin Powers in Goldmember	New Line Cinema	Austin_Powers_in_Goldmember	2002	9/9d/Austin_Powers_in_Goldmember.jpg	
8	Men in Black II	Sony Pictures Releasing	Men_in_Black_II	2002	3/3d/Men_in_Black_II_Poster.jpg	
9	Ice Age	20th Century Fox	Ice_Age_(2002_film)	2002	3/3c/Ice_Age_(2002_film)_poster.jpg	
10	Chicago	Miramax Films	Chicago_(2002_film)	2002	f/f6/Chicago_(2002_film).png	
#rank	title	distributor	href	year	poster	trailer
1	Finding Nemo	Buena Vista Pictures Distribution	Finding_Nemo	2003	2/29/Finding_Nemo.jpg	
2	Pirates of the Caribbean: The Curse of the Black Pearl	Buena Vista Pictures Distribution	Pirates_of_the_Caribbean:_The_Curse_of_the_Black_Pearl	2003	8/89/Pirates_of_the_Caribbean_-_The_Curse_of_the_Black_Pearl.png	
3	The Matrix Reloaded	Warner Bros.	The_Matrix_Reloaded	2003	b/ba/Poster_-_The_Matrix_Reloaded.jpg	
4	The Lord of the Rings: The Return of the King	New Line Cinema	The_Lord_of_the_Rings:_The_Return_of_the_King	2003	2/23/The_Lord_of_the_Rings,_TROTK_(2003).jpg	
5	Bruce Almighty	Universal	Bruce_Almighty	2003	6/60/BruceAlmighty_poster.jpg	
6	X2: X-Men United	20th Century Fox	X2_(film)	2003	3/3e/X2_poster.jpg	
7	Elf	New Line Cinema	Elf_(film)	2003	d/df/Elf_movie.jpg	
8	Chicago	Miramax Films	Chicago_(2002_film)	2003	f/f6/Chicago_(2002_film).png	
9	Terminator 3: Rise of the Machines	Warner Bros.	Terminator_3:_Rise_of_the_Machines	2003	3/39/Terminator_3_Rise_of_the_Machines_movie.jpg	
10	Bad Boys II	Sony Pictures Releasing	Bad_Boys_II	2003	d/d0/Bad_boys_two.jpg	
#rank	title	distributor	href	year	poster	trailer
1	Shrek 2	DreamWorks Pictures	Shrek_2	2004	b/b9/Shrek_2_poster.jpg	
2	Spider-Man 2	Sony Pictures Releasing	Spider-Man_2	2004	4/4e/Spider-Man_2_poster.jpg	
3	The Passion of the Christ	Newmarket Films	The_Passion_of_the_Christ	2004	c/c4/The_Passion_of_the_Christ_poster.png	
4	Meet the Fockers	Universal	Meet_the_Fockers	2004	2/27/Meet_The_Fockers.jpg	
5	The Incredibles	Buena Vista	The_Incredibles	2004	2/27/The_Incredibles_(2004_animated_feature_film).jpg	
6	Harry Potter and the Prisoner of Azkaban	Warner Bros.	Harry_Potter_and_the_Prisoner_of_Azkaban_(film)	2004	b/bc/Prisoner_of_azkaban_UK_poster.jpg	
7	The Day After Tomorrow	20th Century Fox	The_Day_After_Tomorrow	2004	5/58/The_Day_After_Tomorrow_movie.jpg	
8	The Bourne Supremacy	Universal Pictures	The_Bourne_Supremacy_(film)	2004	3/30/Bourne_supremacy_ver2.jpg	
9	National Treasure	Buena Vista Pictures Distribution	National_Treasure_(film)	2004	1/12/Movie_national_treasure.JPG	
10	The Polar Express	Warner Bros.	The_Polar_Express_(film)	2004	2/24/The_Polar_Express_(2004)_poster.jpg	
#rank	title	distributor	href	year	poster	trailer
1	Star Wars: Episode III – Revenge of the Sith	20th Century Fox	Star_Wars:_Episode_III_–_Revenge_of_the_Sith	2005	9/93/Star_Wars_Episode_III_Revenge_of_the_Sith_poster.jpg	
2	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	Buena Vista Pictures Distribution	The_Chronicles_of_Narnia:_The_Lion,_the_Witch_and_the_Wardrobe	2005	1/10/The_Chronicles_of_Narnia_-_The_Lion,_the_Witch_and_the_Wardrobe.jpg	
3	Harry Potter and the Goblet of Fire	Warner Bros.	Harry_Potter_and_the_Goblet_of_Fire_(film)	2005	c/c9/Harry_Potter_and_the_Goblet_of_Fire_Poster.jpg	
4	War of the Worlds	Paramount	War_of_the_Worlds_(2005_film)	2005	8/83/War_of_the_Worlds_2005_poster.jpg	
5	King Kong	Universal	King_Kong_(2005_film)	2005	6/6a/Kingkong_bigfinal1.jpg	
6	Wedding Crashers	New Line Cinema	Wedding_Crashers	2005	3/3e/Wedding_crashers_poster.jpg	
7	Charlie and the Chocolate Factory	Warner Bros.	Charlie_and_the_Chocolate_Factory_(film)	2005	1/17/Charlie_and_the_Chocolate_Factory_(film).png	
8	Batman Begins	Warner Bros.	Batman_Begins	2005	a/af/Batman_Begins_Poster.jpg	
9	Madagascar	DreamWorks Pictures	Madagascar_(2005_film)	2005	3/36/Madagascar_Theatrical_Poster.jpg	
10	Mr. & Mrs. Smith	20th Century Fox	Mr._&_Mrs._Smith_(2005_film)	2005	f/fd/Mr_and_Mrs_Smith_poster.png	
#rank	title	distributor	href	year	poster	trailer
1	Pirates of the Caribbean: Dead Man's Chest	Buena Vista Pictures Distribution	Pirates_of_the_Caribbean:_Dead_Man's_Chest	2006	2/2d/Pirates_of_the_caribbean_2_poster_b.jpg	
2	Night at the Museum	20th Century Fox	Night_at_the_Museum	2006	3/34/Night_at_the_Museum_poster.jpg	
3	Cars	Buena Vista Pictures Distribution	Cars_(film)	2006	3/34/Cars_2006.jpg	
4	X-Men: The Last Stand	20th Century Fox	X-Men:_The_Last_Stand	2006	5/5b/X-Men_The_Last_Stand_theatrical_poster.jpg	
5	The Da Vinci Code	Sony Pictures Releasing	The_Da_Vinci_Code_(film)	2006	e/e9/The_da_vinci_code_final.jpg	
6	Superman Returns	Warner Bros.	Superman_Returns	2006	1/10/Superman_Returns.jpg	
7	Happy Feet	Warner Bros.	Happy_Feet	2006	5/5c/Happy_Feet_Poster.jpg	
8	Ice Age: The Meltdown	20th Century Fox	Ice_Age:_The_Meltdown	2006	f/f1/Ice_Age_2_poster.jpg	
9	Casino Royale	Sony Pictures Releasing	Casino_Royale_(2006_film)	2006	1/15/Casino_Royale_2_-_UK_cinema_poster.jpg	
10	The Pursuit of Happyness	Sony Pictures Releasing	The_Pursuit_of_Happyness	2006	8/81/Poster-pursuithappyness.jpg	
#rank	title	distributor	href	year	poster	trailer
1	Spider-Man 3	Sony Pictures Releasing	Spider-Man_3	2007	7/7a/Spider-Man_3,_International_Poster.jpg	
2	Shrek the Third	Paramount	Shrek_the_Third	2007	2/22/Shrek_the_Third_(2007_animated_feature_film).jpg	
3	Transformers	Paramount	Transformers_(film)	2007	6/66/Transformers07.jpg	
4	Pirates of the Caribbean: At World's End	Buena Vista Pictures Distribution	Pirates_of_the_Caribbean:_At_World's_End	2007	5/5a/Pirates_AWE_Poster.jpg	
5	Harry Potter and the Order of the Phoenix	Warner Bros.	Harry_Potter_and_the_Order_of_the_Phoenix_(film)	2007	e/e7/Harry_Potter_and_the_Order_of_the_Phoenix_poster.jpg	
6	I Am Legend	Warner Bros.	I_Am_Legend_(film)	2007	d/df/I_am_legend_teaser.jpg	
7	The Bourne Ultimatum	Universal Pictures	The_Bourne_Ultimatum_(film)	2007	f/fe/The_Bourne_Ultimatum_(2007_film_poster).jpg	
8	National Treasure: Book of Secrets	Buena Vista	National_Treasure:_Book_of_Secrets	2007	8/80/Book_of_secrets_post.jpg	
9	Alvin and the Chipmunks	20th Century Fox	Alvin_and_the_Chipmunks_(film)	2007	d/dc/Alvin_and_the_Chipmunks2007.jpg	
10	300	Warner Bros.	300_(film)	2007	5/5c/300poster.jpg	
#rank	title	distributor	href	year	poster	trailer
1	The Dark Knight	Warner Bros.	The_Dark_Knight	2008	1/1c/The_Dark_Knight_(2008_film).jpg	
2	Iron Man	Paramount	Iron_Man_(2008_film)	2008	0/02/Iron_Man_(2008_film)_poster.jpg	
3	Indiana Jones and the Kingdom of the Crystal Skull	Paramount	Indiana_Jones_and_the_Kingdom_of_the_Crystal_Skull	2008	d/d5/Kingdomofthecrystalskull.jpg	
4	Hancock	Sony Pictures Releasing	Hancock_(film)	2008	c/c9/Hancockposter.jpg	
5	WALL-E	Buena Vista	WALL-E	2008	4/4c/WALL-E_poster.jpg	
6	Kung Fu Panda	Paramount	Kung_Fu_Panda_(film)	2008	7/76/Kungfupanda.jpg	
7	Twilight	Summit Entertainment	Twilight_(2008_film)	2008	b/b6/Twilight_(2008_film)_poster.jpg	
8	Madagascar: Escape 2 Africa	DreamWorks Pictures	Madagascar:_Escape_2_Africa	2008	7/7f/Madagascar2poster.jpg	
9	Quantum of Solace	Sony Pictures Releasing	Quantum_of_Solace	2008	2/2d/Quantum_of_Solace_-_UK_cinema_poster.jpg	
10	Horton Hears a Who!	20th Century Fox	Horton_Hears_a_Who!_(film)	2008	8/8b/Horton_Hears_a_Who!.jpg	
#rank	title	distributor	href	year	poster	trailer
1	Avatar	20th Century Fox	Avatar_(2009_film)	2009	d/d6/Avatar_(2009_film)_poster.jpg	
2	Transformers: Revenge of the Fallen	Paramount	Transformers:_Revenge_of_the_Fallen	2009	c/cb/TF2SteelPoster.jpg	
3	Harry Potter and the Half-Blood Prince	Warner Bros.	Harry_Potter_and_the_Half-Blood_Prince_(film)	2009	3/3f/Harry_Potter_and_the_Half-Blood_Prince_poster.jpg	
4	The Twilight Saga: New Moon	Summit Entertainment	The_Twilight_Saga:_New_Moon	2009	9/93/The_Twilight_Saga-_New_Moon_poster.JPG	
5	Up	Buena Vista	Up_(2009_film)	2009	0/05/Up_(2009_film).jpg	
6	The Hangover	Warner Bros.	The_Hangover	2009	b/b9/Hangoverposter09.jpg	
7	Star Trek	Paramount	Star_Trek_(film)	2009	2/29/Startrekposter.jpg	
8	The Blind Side	Warner Bros.	The_Blind_Side_(film)	2009	6/60/Blind_side_poster.jpg	
9	Alvin and the Chipmunks: The Squeakquel	20th Century Fox	Alvin_and_the_Chipmunks:_The_Squeakquel	2009	d/d8/Chipmunks2squeakuel.jpg	
10	Sherlock Holmes	Warner Bros.	Sherlock_Holmes_(2009_film)	2009	e/e0/Sherlock_holmes_ver5.jpg	
#rank	title	distributor	href	year	poster	trailer
1	Toy Story 3	Buena Vista	Toy_Story_3	2010	6/69/Toy_Story_3_poster.jpg	
2	Alice in Wonderland	Buena Vista	Alice_in_Wonderland_(2010_film)	2010	3/36/Alice_in_Wonderland_(2010_film).png	
3	Iron Man 2	Paramount	Iron_Man_2	2010	e/ed/Iron_Man_2_poster.jpg	
4	The Twilight Saga: Eclipse	Summit Entertainment	The_Twilight_Saga:_Eclipse	2010	d/d7/Eclipse_Theatrical_One-Sheet.jpg	
5	Harry Potter and the Deathly Hallows – Part 1	Warner Bros.	Harry_Potter_and_the_Deathly_Hallows_–_Part_1	2010	2/2d/Harry_Potter_and_the_Deathly_Hallows_–_Part_1.jpg	
6	Inception	Warner Bros.	Inception	2010	2/2e/Inception_(2010)_theatrical_poster.jpg	
7	Despicable Me	Universal Pictures	Despicable_Me_(film)	2010	c/c0/Despicable_Me_(2010_animated_feature_film).jpg	
8	Shrek Forever After	Paramount	Shrek_Forever_After	2010	7/70/Shrek_Forever_After_(2010_animated_feature_film).jpg	
9	How to Train Your Dragon	Paramount	How_to_Train_Your_Dragon_(2010_film)	2010	9/99/How_to_Train_Your_Dragon_Poster.jpg	
10	Tangled	Buena Vista	Tangled	2010	a/a8/Tangled_poster.jpg	
#rank	title	distributor	href	year	poster	trailer
1	Harry Potter and the Deathly Hallows – Part 2	Warner Bros.	Harry_Potter_and_the_Deathly_Hallows_–_Part_2	2011	d/df/Harry_Potter_and_the_Deathly_Hallows_–_Part_2.jpg	
2	Transformers: Dark of the Moon	Paramount	Transformers:_Dark_of_the_Moon	2011	b/bf/Transformers_dark_of_the_moon_ver5.jpg	
3	The Twilight Saga: Breaking Dawn – Part 1	Summit Entertainment	The_Twilight_Saga:_Breaking_Dawn_–_Part_1	2011	c/c2/Breaking_Dawn_Part_1_Poster.jpg	
4	The Hangover Part II	Warner Bros.	The_Hangover_Part_II	2011	9/9d/HangoverPart2MP2011.jpg	
5	Pirates of the Caribbean: On Stranger Tides	Buena Vista	Pirates_of_the_Caribbean:_On_Stranger_Tides	2011	5/5e/Pirates_of_the_Caribbean_-_On_Stranger_Tides.png	
6	Fast Five	Universal	Fast_Five	2011	0/0c/Fast_Five_poster.jpg	
7	Mission: Impossible – Ghost Protocol	Paramount	Mission:_Impossible_–_Ghost_Protocol	2011	b/b5/Mission_impossible_ghost_protocol.jpg	
8	Cars 2	Buena Vista	Cars_2	2011	7/7f/Cars_2_Poster.jpg	
9	Sherlock Holmes: A Game of Shadows	Warner Bros.	Sherlock_Holmes:_A_Game_of_Shadows	2011	5/53/Sherlock_Holmes2Poster.jpg	
10	Thor	Paramount	Thor_(film)	2011	9/95/Thor_(film)_poster.jpg	
#rank	title	distributor	href	year	poster	trailer
1	The Avengers	Buena Vista	The_Avengers_(2012_film)	2012	8/8a/The_Avengers_(2012_film)_poster.jpg	
2	The Dark Knight Rises	Warner Bros.	The_Dark_Knight_Rises	2012	8/83/Dark_knight_rises_poster.jpg	
3	The Hunger Games	Lionsgate	The_Hunger_Games_(film)	2012	4/42/HungerGamesPoster.jpg	
4	Skyfall	Sony Pictures Releasing	Skyfall	2012	a/a7/Skyfall_poster.jpg	
5	The Hobbit: An Unexpected Journey	Warner Bros.	The_Hobbit:_An_Unexpected_Journey	2012	b/b3/The_Hobbit-_An_Unexpected_Journey.jpeg	
6	The Twilight Saga: Breaking Dawn – Part 2	Summit Entertainment	The_Twilight_Saga:_Breaking_Dawn_–_Part_2	2012	4/49/The_Twilight_Saga_Breaking_Dawn_Part_2_poster.jpg	
7	The Amazing Spider-Man	Sony Pictures Releasing	The_Amazing_Spider-Man_(film)	2012	e/e0/The_Amazing_Spider-Man_(film)_poster.jpg	
8	Brave	Buena Vista	Brave_(2012_film)	2012	9/96/Brave_Poster.jpg	
9	Ted	Universal	Ted_(film)	2012	d/d4/Ted_(film).png	
10	Madagascar 3: Europe's Most Wanted	Paramount	Madagascar_3:_Europe's_Most_Wanted	2012	c/c4/Madagascar3-Poster.jpg	
#rank	title	distributor	href	year	poster	trailer
1	The Hunger Games: Catching Fire	Lionsgate	The_Hunger_Games:_Catching_Fire	2013	1/12/Catching-Fire_poster.jpg	
2	Iron Man 3	Buena Vista	Iron_Man_3	2013	1/19/Iron_Man_3_poster.jpg	
3	Frozen	Buena Vista	Frozen_(2013_film)	2013	0/05/Frozen_(2013_film)_poster.jpg	
